"CUPS","Fecha","Hora","Consumo_kWh","Metodo_obtencion"
"ES0031102870658016TJ0F","01/01/2024","0","0,067","R"
"ES0031102870658016TJ0F","01/01/2024","1","0,076","R"
"ES0031102870658016TJ0F","01/01/2024","2","0,098","R"
"ES0031102870658016TJ0F","01/01/2024","3","0,135","R"
"ES0031102870658016TJ0F","01/01/2024","4","0,073","R"
"ES0031102870658016TJ0F","01/01/2024","5","0,075","R"
"ES0031102870658016TJ0F","01/01/2024","6","0,069","R"
"ES0031102870658016TJ0F","01/01/2024","7","0,474","R"
"ES0031102870658016TJ0F","01/01/2024","8","0,07","R"
"ES0031102870658016TJ0F","01/01/2024","9","0,071","R"
"ES0031102870658016TJ0F","01/01/2024","10","0,068","R"
"ES0031102870658016TJ0F","01/01/2024","11","0,065","R"
"ES0031102870658016TJ0F","01/01/2024","12","0,822","R"
"ES0031102870658016TJ0F","01/01/2024","13","0,467","R"
"ES0031102870658016TJ0F","01/01/2024","14","0,482","R"
"ES0031102870658016TJ0F","01/01/2024","15","0,06","R"
"ES0031102870658016TJ0F","01/01/2024","16","0,056","R"
"ES0031102870658016TJ0F","01/01/2024","17","0,059","R"
"ES0031102870658016TJ0F","01/01/2024","18","0,062","R"
"ES0031102870658016TJ0F","01/01/2024","19","0,056","R"
"ES0031102870658016TJ0F","01/01/2024","20","0,059","R"
"ES0031102870658016TJ0F","01/01/2024","21","0,067","R"
"ES0031102870658016TJ0F","01/01/2024","22","0,06","R"
"ES0031102870658016TJ0F","01/01/2024","23","0,057","R"
"ES0031102870658016TJ0F","02/01/2024","0","0,467","R"
"ES0031102870658016TJ0F","02/01/2024","1","0,062","R"
"ES0031102870658016TJ0F","02/01/2024","2","0,059","R"
"ES0031102870658016TJ0F","02/01/2024","3","0,056","R"
"ES0031102870658016TJ0F","02/01/2024","4","0,055","R"
"ES0031102870658016TJ0F","02/01/2024","5","0,061","R"
"ES0031102870658016TJ0F","02/01/2024","6","0,064","R"
"ES0031102870658016TJ0F","02/01/2024","7","0,055","R"
"ES0031102870658016TJ0F","02/01/2024","8","0,056","R"
"ES0031102870658016TJ0F","02/01/2024","9","0,056","R"
"ES0031102870658016TJ0F","02/01/2024","10","0,062","R"
"ES0031102870658016TJ0F","02/01/2024","11","0,497","R"
"ES0031102870658016TJ0F","02/01/2024","12","0,057","R"
"ES0031102870658016TJ0F","02/01/2024","13","0,055","R"
"ES0031102870658016TJ0F","02/01/2024","14","0,054","R"
"ES0031102870658016TJ0F","02/01/2024","15","0,061","R"
"ES0031102870658016TJ0F","02/01/2024","16","0,061","R"
"ES0031102870658016TJ0F","02/01/2024","17","0,056","R"
"ES0031102870658016TJ0F","02/01/2024","18","0,056","R"
"ES0031102870658016TJ0F","02/01/2024","19","0,056","R"
"ES0031102870658016TJ0F","02/01/2024","20","0,066","R"
"ES0031102870658016TJ0F","02/01/2024","21","0,057","R"
"ES0031102870658016TJ0F","02/01/2024","22","0,057","R"
"ES0031102870658016TJ0F","02/01/2024","23","0,503","R"
"ES0031102870658016TJ0F","03/01/2024","0","0,058","R"
"ES0031102870658016TJ0F","03/01/2024","1","0,068","R"
